==23641== NVPROF is profiling process 23641, command: ./main 6 0
==23641== Profiling application: ./main 6 0
==23641== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,MB,GB/s,,,,
515.301806,266.655000,,,,,,,,,,1.562500,5.722296,"GeForce GTX 950 (0)","1","13","[CUDA memcpy HtoD]"
515.569645,272.606000,,,,,,,,,,1.562500,5.597378,"GeForce GTX 950 (0)","1","13","[CUDA memcpy HtoD]"
515.843499,285.310000,,,,,,,,,,1.562500,5.348144,"GeForce GTX 950 (0)","1","17","[CUDA memcpy HtoD]"
515.852619,57.791000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","13","kernel_vectorAdd(float const *, float const *, int, int, float*) [230]"
515.913770,298.622000,,,,,,,,,,1.562500,5.109734,"GeForce GTX 950 (0)","1","13","[CUDA memcpy DtoH]"
516.131401,278.622000,,,,,,,,,,1.562500,5.476520,"GeForce GTX 950 (0)","1","17","[CUDA memcpy HtoD]"
516.411303,287.709000,,,,,,,,,,1.562500,5.303549,"GeForce GTX 950 (0)","1","18","[CUDA memcpy HtoD]"
516.424614,56.928000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","17","kernel_vectorAdd(float const *, float const *, int, int, float*) [258]"
516.490246,299.582000,,,,,,,,,,1.562500,5.093360,"GeForce GTX 950 (0)","1","17","[CUDA memcpy DtoH]"
516.701572,278.366000,,,,,,,,,,1.562500,5.481556,"GeForce GTX 950 (0)","1","18","[CUDA memcpy HtoD]"
516.981218,285.982000,,,,,,,,,,1.562500,5.335577,"GeForce GTX 950 (0)","1","14","[CUDA memcpy HtoD]"
516.993186,57.120000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","18","kernel_vectorAdd(float const *, float const *, int, int, float*) [265]"
517.061570,298.206000,,,,,,,,,,1.562500,5.116862,"GeForce GTX 950 (0)","1","18","[CUDA memcpy DtoH]"
517.269600,278.174000,,,,,,,,,,1.562500,5.485340,"GeForce GTX 950 (0)","1","14","[CUDA memcpy HtoD]"
517.549054,287.166000,,,,,,,,,,1.562500,5.313578,"GeForce GTX 950 (0)","1","15","[CUDA memcpy HtoD]"
517.555806,56.384000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","14","kernel_vectorAdd(float const *, float const *, int, int, float*) [237]"
517.618366,297.950000,,,,,,,,,,1.562500,5.121258,"GeForce GTX 950 (0)","1","14","[CUDA memcpy DtoH]"
517.838716,275.998000,,,,,,,,,,1.562500,5.528587,"GeForce GTX 950 (0)","1","15","[CUDA memcpy HtoD]"
518.115962,285.246000,,,,,,,,,,1.562500,5.349344,"GeForce GTX 950 (0)","1","16","[CUDA memcpy HtoD]"
518.126810,56.160000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","15","kernel_vectorAdd(float const *, float const *, int, int, float*) [244]"
518.195642,297.310000,,,,,,,,,,1.562500,5.132282,"GeForce GTX 950 (0)","1","15","[CUDA memcpy DtoH]"
518.403608,272.574000,,,,,,,,,,1.562500,5.598035,"GeForce GTX 950 (0)","1","16","[CUDA memcpy HtoD]"
518.686934,52.288000,1600,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","16","kernel_vectorAdd(float const *, float const *, int, int, float*) [251]"
518.740598,259.198000,,,,,,,,,,1.562500,5.886924,"GeForce GTX 950 (0)","1","16","[CUDA memcpy DtoH]"
